cleaner,drop_q,fit_count,weight,model,threshold,train_mra,test_mra,p75,benefit,tie,harm,delta_sum
recall,0.2,1049,clean,gbrt,-0.011108343204750027,32.196796338672776,32.506112469437646,138,43,41,54,6.1000000000000005
linear,0.1,1180,clean,gbrt,-0.0012697910493189564,32.166285278413426,32.49388753056235,115,38,34,43,5.999999999999999
linear,0.4,787,delta_clean,xgb,0.07201421921011766,31.639969488939744,32.49388753056235,109,37,34,38,6.000000000000001
geom,0.2,1049,delta_clean2,rf,0.016183016504101925,32.09000762776507,32.49388753056235,191,57,56,78,5.999999999999999
geom,0.2,1049,clean,gbrt,-0.00905553783185538,32.151029748283754,32.49388753056234,131,40,42,49,6.0
recall,0.3,918,delta_clean,lgbm,0.045723743470722285,32.00610221205187,32.48166259168705,175,47,62,66,5.900000000000001
linear,0.2,1049,clean,xgb,-0.006136545092103151,32.25019069412662,32.46943765281174,132,42,36,54,5.799999999999999
geom,0.2,1049,delta_clean2,lgbm,0.023158445439570945,32.013729977116704,32.46943765281174,209,57,71,81,5.8000000000000025
linear,0.3,918,delta_clean,xgb,0.04820247541500039,31.937452326468346,32.44498777506113,183,50,67,66,5.600000000000001
geom,0.1,1180,clean,gbrt,-0.0073005339960642715,32.25019069412662,32.44498777506113,134,41,41,52,5.6
linear,0.0,1311,delta_clean2,dt2,0.013791441391859553,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
linear,0.1,1180,delta_clean2,dt2,0.013318175628022622,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
linear,0.2,1049,delta_clean2,dt2,0.013376007788594591,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
linear,0.3,918,delta_clean2,dt2,0.012214342787645466,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
linear,0.4,787,delta_clean2,dt2,0.011890606247890494,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
geom,0.0,1311,delta_clean2,dt2,0.016350856916891844,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
geom,0.1,1180,clean,xgb,0.003230731719161712,32.1815408085431,32.44498777506112,115,40,30,45,5.599999999999998
geom,0.1,1180,delta_clean2,dt2,0.016406516765671425,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
geom,0.2,1049,delta_clean2,dt2,0.016138141783913647,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
geom,0.3,918,delta_clean2,dt2,0.015594811927407266,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
geom,0.4,787,delta_clean,dt2,0.008623776599136601,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
geom,0.4,787,delta_clean2,dt2,0.016425354426493073,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
recall,0.3,918,delta_clean2,dt2,0.014020829519028052,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
recall,0.3,918,delta_clean2,lgbm,0.046791742185423695,31.929824561403507,32.44498777506112,146,43,47,56,5.600000000000001
recall,0.4,787,delta_clean,dt2,0.008301566450685062,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
recall,0.4,787,delta_clean2,dt2,0.016870039644321346,31.006864988558352,32.44498777506112,179,52,56,71,5.600000000000001
linear,0.3,918,delta_clean2,rf,0.008983117615049547,32.02135774218154,32.432762836185816,202,58,69,75,5.5
geom,0.3,918,clean,xgb,-0.011242289084328371,32.151029748283754,32.432762836185816,152,45,46,61,5.499999999999999
recall,0.1,1180,delta_clean,lgbm,0.0108960371930406,32.20442410373761,32.432762836185816,242,62,89,91,5.499999999999999
linear,0.0,1311,clean,gbrt,-0.018414864349166768,32.14340198321892,32.42053789731052,171,47,56,68,5.4
geom,0.0,1311,clean,xgb,1.7647504735768906e-05,32.09000762776507,32.42053789731052,133,44,33,56,5.399999999999999
